"Model","Recall","Specificity","Precision","TNR","TP","TN","FP","FN"
"tree1",0.378,0.921,0.663,0.783,132,784,67,217
"rp1",0.378,0.921,0.663,0.783,132,784,67,217
"rp2",0.378,0.921,0.663,0.783,132,784,67,217
"rp3",0.378,0.921,0.663,0.783,132,784,67,217
"rp4",0.378,0.921,0.663,0.783,132,784,67,217
"tree2",0.441,0.89,0.621,0.795,154,757,94,195
"tr1",0.441,0.89,0.621,0.795,154,757,94,195
"tr2",0.441,0.89,0.621,0.795,154,757,94,195
"tr3",0.476,0.851,0.567,0.798,166,724,127,183
"tr4",0.484,0.828,0.537,0.797,169,705,146,180
